Tipología;enero-junio 2024
    I. CRIMINALIDAD CONVENCIONAL;1.427
    1. Homicidios dolosos y asesinatos consumados;0
    2. Homicidios dolosos y asesinatos en grado tentativa;1
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;16
    4. Secuestro;0
    5. Delitos contra la libertad sexual;9
    5.1.-Agresión sexual con penetración;1
    5.2.-Resto de delitos contra la libertad sexual;8
    6. Robos con violencia e intimidación;45
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;63
    7.1.-Robos con fuerza en domicilios;32
    8. Hurtos;455
    9. Sustracciones de vehículos;24
    10. Tráfico de drogas;16
    11. Resto de criminalidad convencional;798
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);388
    12.-Estafas informáticas;338
    13.-Otros ciberdelitos;50
    III. TOTAL INFRACCIONES PENALES;1.815
